dangerous_permissions_count,total_permissions_count,has_perm_read_sms,has_perm_send_sms,has_perm_read_contacts,has_perm_access_fine_location,has_perm_record_audio,has_perm_camera,suspicious_api_count,crypto_api_count,network_api_count,sms_api_count,total_opcodes,reflection_opcodes,activities_count,services_count,receivers_count,suspicious_strings,url_count,avg_string_length,is_debug_cert,file_size,label,file_name,file_path
4,10,0,0,1,0,1,0,8,2,30,7,5324,35,6,1,3,10,3,11.00700121554503,1,28375197,suspicious,sample_0038.apk,/sample/path/sample_0038.apk
7,42,0,1,0,0,0,1,5,3,18,3,50376,19,17,0,9,13,63,26.585134122038333,0,44548158,suspicious,sample_0039.apk,/sample/path/sample_0039.apk
3,17,0,0,0,0,0,1,12,7,1,3,9512,318,5,8,0,8,74,99.90157819985953,0,22982813,benign,sample_0040.apk,/sample/path/sample_0040.apk
14,9,1,1,0,1,1,0,2,0,39,5,6951,348,8,8,4,13,59,41.09462914448386,0,9910852,malware,sample_0041.apk,/sample/path/sample_0041.apk
2,18,0,0,1,0,1,0,13,18,37,0,88062,62,15,0,8,16,96,84.38160093828536,0,18691444,benign,sample_0042.apk,/sample/path/sample_0042.apk
7,44,0,0,1,1,0,0,14,14,28,0,60379,477,7,3,12,5,56,69.22719288115417,0,42108406,benign,sample_0043.apk,/sample/path/sample_0043.apk
0,8,0,0,1,0,1,0,3,12,23,3,41631,14,8,4,12,14,67,147.2279879946826,0,3244702,benign,sample_0044.apk,/sample/path/sample_0044.apk
2,40,0,0,0,0,1,0,7,14,25,9,76916,103,18,8,0,14,59,122.6629519991761,0,40302467,benign,sample_0045.apk,/sample/path/sample_0045.apk
4,41,0,0,0,1,0,1,7,8,21,6,35560,301,5,4,9,13,35,33.685909428620704,1,46188926,suspicious,sample_0046.apk,/sample/path/sample_0046.apk
5,44,0,0,1,0,0,0,2,19,24,9,74509,385,7,1,10,1,90,95.92140876906336,0,28915002,benign,sample_0047.apk,/sample/path/sample_0047.apk
2,28,0,0,0,0,0,0,25,17,20,0,71480,83,9,0,3,21,85,26.216436934942333,1,10427504,suspicious,sample_0048.apk,/sample/path/sample_0048.apk
6,5,0,0,0,1,0,0,16,12,28,7,90106,17,1,2,14,17,65,111.54661933887691,0,40648899,benign,sample_0049.apk,/sample/path/sample_0049.apk
0,12,1,1,0,0,0,0,22,17,6,7,77534,322,8,5,8,14,66,178.61749167756557,0,9860935,malware,sample_0050.apk,/sample/path/sample_0050.apk
1,39,0,0,1,1,0,0,20,13,30,6,18327,465,7,9,6,0,22,171.14433813870787,0,7202258,benign,sample_0051.apk,/sample/path/sample_0051.apk
3,33,0,0,1,0,0,0,22,11,19,4,34572,421,9,1,4,11,98,190.20612832280977,0,21886096,benign,sample_0052.apk,/sample/path/sample_0052.apk
9,34,0,0,1,0,0,0,7,1,44,8,61774,200,11,3,9,12,97,61.738392038680104,0,35569361,benign,sample_0053.apk,/sample/path/sample_0053.apk
4,46,0,0,0,1,1,0,9,5,26,7,97523,236,7,9,12,16,25,86.83248529431462,0,1691757,benign,sample_0054.apk,/sample/path/sample_0054.apk
1,47,0,0,1,0,1,0,3,16,38,7,29769,54,15,7,5,21,68,101.91343896715843,0,37905710,benign,sample_0055.apk,/sample/path/sample_0055.apk
3,23,0,0,0,0,0,1,20,8,8,7,38904,128,11,7,9,24,38,24.427347970228197,0,11047595,benign,sample_0056.apk,/sample/path/sample_0056.apk
11,34,0,0,0,1,1,1,24,16,46,7,1338,263,17,6,4,21,79,171.34717379741068,0,22689432,suspicious,sample_0057.apk,/sample/path/sample_0057.apk
11,19,0,0,0,0,0,1,25,6,13,4,25070,136,19,7,1,22,92,100.10070116491812,0,4433382,suspicious,sample_0058.apk,/sample/path/sample_0058.apk
2,22,0,0,0,0,0,0,2,4,42,7,98241,182,12,6,14,23,3,160.23740131940306,0,4828433,benign,sample_0059.apk,/sample/path/sample_0059.apk
0,20,0,0,0,0,1,0,12,12,17,2,97122,38,14,3,12,16,92,17.143386909189566,0,12305231,benign,sample_0060.apk,/sample/path/sample_0060.apk
7,48,1,0,0,0,0,0,2,12,13,7,33413,497,4,1,13,4,24,62.680472682386984,1,26332296,benign,sample_0061.apk,/sample/path/sample_0061.apk
14,28,0,1,1,0,0,1,13,10,12,1,49280,198,4,7,3,21,73,18.91961785808447,0,24544744,malware,sample_0062.apk,/sample/path/sample_0062.apk
0,7,1,0,0,0,0,0,16,9,34,1,26425,61,17,7,2,2,12,52.52534681629839,0,19453059,benign,sample_0063.apk,/sample/path/sample_0063.apk
13,41,0,0,0,0,1,1,11,9,8,7,43520,260,11,1,7,14,37,59.353218914461976,0,6809041,benign,sample_0064.apk,/sample/path/sample_0064.apk
5,41,0,0,0,1,0,0,28,18,2,7,12303,353,8,0,5,23,18,174.95055276979392,0,5684346,suspicious,sample_0065.apk,/sample/path/sample_0065.apk
10,45,0,0,1,0,0,0,4,10,44,9,69344,498,10,9,10,20,29,182.6532487611799,0,40972097,benign,sample_0066.apk,/sample/path/sample_0066.apk
13,17,0,0,0,1,1,0,1,12,34,5,77242,413,7,9,8,1,62,84.50873017458736,0,16886372,benign,sample_0067.apk,/sample/path/sample_0067.apk
12,26,1,0,0,0,0,0,9,0,21,9,77919,209,18,3,10,2,51,154.0700072265143,0,28911050,benign,sample_0068.apk,/sample/path/sample_0068.apk
0,10,0,0,0,0,0,0,3,16,34,8,82958,270,11,3,1,14,77,53.71019977597244,0,38277378,benign,sample_0069.apk,/sample/path/sample_0069.apk
0,48,0,0,1,1,1,1,4,2,0,9,20982,161,3,0,8,23,11,116.9225544052427,0,13866619,benign,sample_0070.apk,/sample/path/sample_0070.apk
13,29,1,0,1,1,0,0,11,2,19,8,48837,205,7,0,13,11,83,91.75812003089791,0,32007736,benign,sample_0071.apk,/sample/path/sample_0071.apk
11,26,0,0,1,0,0,0,17,17,45,5,27143,10,13,8,0,5,40,17.527576816187857,0,49018519,benign,sample_0072.apk,/sample/path/sample_0072.apk
8,21,0,0,0,0,0,0,7,17,32,1,7368,288,9,0,12,19,25,85.41542247830326,0,22650278,benign,sample_0073.apk,/sample/path/sample_0073.apk
9,19,0,0,0,1,0,0,5,8,38,8,65881,203,8,7,1,19,61,126.32901731742001,0,20628490,benign,sample_0074.apk,/sample/path/sample_0074.apk
3,20,0,0,0,1,0,1,10,17,11,6,2560,300,19,9,2,22,99,151.41302246304156,0,11556086,benign,sample_0075.apk,/sample/path/sample_0075.apk
2,48,0,0,0,1,1,0,9,18,34,5,56230,206,1,6,11,16,93,192.5483047825256,0,11717207,benign,sample_0076.apk,/sample/path/sample_0076.apk
3,41,0,0,1,0,1,0,3,1,35,1,27958,417,4,5,6,9,57,183.34903566717128,0,29175911,benign,sample_0077.apk,/sample/path/sample_0077.apk
4,19,0,0,0,1,0,0,1,4,4,5,5648,317,15,7,6,24,83,122.66066177263622,0,2960826,benign,sample_0078.apk,/sample/path/sample_0078.apk
8,32,0,0,0,1,0,1,14,10,9,2,34397,269,16,9,12,9,75,167.4878395176958,0,42916167,benign,sample_0079.apk,/sample/path/sample_0079.apk
10,16,0,0,0,0,0,0,4,16,48,7,27155,311,15,5,11,19,77,20.84650265696982,0,21709657,benign,sample_0080.apk,/sample/path/sample_0080.apk
12,5,0,0,1,0,0,0,9,19,49,7,66661,481,18,8,6,23,42,102.88085024881484,0,4184790,benign,sample_0081.apk,/sample/path/sample_0081.apk
13,49,0,1,1,0,0,1,28,5,4,5,49320,310,11,9,13,17,81,127.39097563823063,0,35831079,malware,sample_0082.apk,/sample/path/sample_0082.apk
0,16,0,0,1,1,1,1,15,4,40,9,9125,219,2,1,5,8,32,87.31251253734541,0,5876872,benign,sample_0083.apk,/sample/path/sample_0083.apk
4,17,0,0,0,1,1,0,1,17,12,8,26426,364,11,0,7,21,70,11.094145494643099,0,31436427,benign,sample_0084.apk,/sample/path/sample_0084.apk
9,11,0,0,0,0,0,0,5,10,34,7,61233,449,14,8,2,20,25,190.78092633653833,0,35301851,benign,sample_0085.apk,/sample/path/sample_0085.apk
4,33,0,0,0,0,0,0,15,5,45,1,27987,378,11,4,6,10,79,133.0201956893746,0,40115544,benign,sample_0086.apk,/sample/path/sample_0086.apk
3,15,0,0,0,0,0,0,20,19,45,2,55691,157,18,1,0,12,3,166.40306296317544,0,40697758,benign,sample_0087.apk,/sample/path/sample_0087.apk
11,14,0,0,0,1,0,1,19,3,6,5,22675,375,13,9,14,12,21,165.64588329109014,0,41071048,suspicious,sample_0088.apk,/sample/path/sample_0088.apk
9,13,0,0,0,1,0,0,26,4,3,1,56826,99,7,9,8,17,18,128.5332716885489,0,37436209,suspicious,sample_0089.apk,/sample/path/sample_0089.apk
4,39,1,0,0,0,0,0,6,10,9,8,28213,76,2,2,6,20,17,86.82056593981551,0,25768424,benign,sample_0090.apk,/sample/path/sample_0090.apk
0,15,1,0,0,1,0,0,13,3,39,4,74379,386,9,7,0,5,40,127.25959884517289,0,17055099,benign,sample_0091.apk,/sample/path/sample_0091.apk
1,9,0,0,0,0,0,0,25,2,21,5,6249,214,12,1,5,16,34,148.82359694545676,0,11093205,benign,sample_0092.apk,/sample/path/sample_0092.apk
11,40,1,0,1,0,0,0,22,15,11,0,47479,395,8,3,2,15,29,54.58199555253617,0,19903669,suspicious,sample_0093.apk,/sample/path/sample_0093.apk
4,24,1,0,1,0,0,0,6,0,15,5,10715,225,14,3,0,22,65,82.37280984708757,0,21101880,benign,sample_0094.apk,/sample/path/sample_0094.apk
8,5,0,0,0,1,0,1,10,14,21,4,91355,489,12,0,9,5,81,129.3105100268008,0,6287913,benign,sample_0095.apk,/sample/path/sample_0095.apk
13,18,1,0,0,0,0,0,1,2,17,3,56249,255,10,8,1,24,53,69.60826132687825,0,33799055,benign,sample_0096.apk,/sample/path/sample_0096.apk
5,7,1,0,0,0,0,0,14,3,44,3,53188,315,6,1,11,22,82,83.42755982023796,0,19392993,benign,sample_0097.apk,/sample/path/sample_0097.apk
9,29,0,1,0,1,1,0,2,8,27,2,7406,79,16,0,3,3,39,164.65435120614356,0,41280883,suspicious,sample_0098.apk,/sample/path/sample_0098.apk
12,40,0,0,0,1,0,0,6,13,6,4,77373,132,2,4,5,5,78,120.60816365819473,0,10426807,benign,sample_0099.apk,/sample/path/sample_0099.apk
6,9,0,0,0,1,1,1,3,16,34,0,71331,394,4,1,3,15,81,100.44344458006564,0,17541107,benign,sample_0100.apk,/sample/path/sample_0100.apk
12,42,0,1,0,0,0,1,1,15,28,0,90097,241,8,4,11,10,33,83.40629287117994,0,36281840,suspicious,sample_0101.apk,/sample/path/sample_0101.apk
14,21,0,0,0,1,0,0,12,7,22,0,8788,434,3,7,0,4,19,150.12658829721133,0,31981347,benign,sample_0102.apk,/sample/path/sample_0102.apk
10,19,1,0,0,0,0,1,7,9,37,0,18630,135,8,8,8,1,78,49.080579817155474,0,25214909,benign,sample_0103.apk,/sample/path/sample_0103.apk
3,18,0,1,0,1,0,0,26,7,1,5,40071,350,16,1,10,9,14,31.053512814163337,0,6418952,malware,sample_0104.apk,/sample/path/sample_0104.apk
8,44,0,0,0,1,0,0,18,13,48,7,62332,482,7,0,11,8,46,57.9257938329387,0,32845012,benign,sample_0105.apk,/sample/path/sample_0105.apk
13,12,0,0,0,0,0,1,24,12,17,1,65028,212,15,3,10,17,94,102.79488471233853,0,31779669,suspicious,sample_0106.apk,/sample/path/sample_0106.apk
10,41,0,0,0,0,0,1,14,4,46,7,42321,185,16,7,0,11,4,177.47564813825406,0,28719138,benign,sample_0107.apk,/sample/path/sample_0107.apk
9,38,0,0,1,1,0,0,12,8,35,5,20033,313,12,0,13,13,33,154.14851412109093,0,27906511,benign,sample_0108.apk,/sample/path/sample_0108.apk
2,35,0,0,1,0,0,1,23,2,25,4,74445,468,8,6,4,9,37,41.708172392425475,0,44281526,benign,sample_0109.apk,/sample/path/sample_0109.apk
6,8,0,0,0,0,0,0,23,1,29,1,15226,158,19,0,14,13,82,21.12467655635605,0,16663645,benign,sample_0110.apk,/sample/path/sample_0110.apk
9,42,0,0,0,0,0,1,0,17,48,8,34787,117,13,0,0,5,3,104.2716129815117,0,16697605,benign,sample_0111.apk,/sample/path/sample_0111.apk
14,18,0,0,1,0,0,1,2,12,42,0,7397,117,13,5,0,12,50,188.7290565719147,0,34422637,benign,sample_0112.apk,/sample/path/sample_0112.apk
9,9,1,0,1,0,0,0,3,6,38,1,95848,279,4,5,8,21,45,125.94277840075185,0,6905950,benign,sample_0113.apk,/sample/path/sample_0113.apk
3,28,0,0,0,0,0,0,22,13,9,5,10833,216,13,5,11,8,44,172.08702844669358,0,45343121,benign,sample_0114.apk,/sample/path/sample_0114.apk
9,47,0,0,0,0,1,0,23,10,19,7,78454,431,7,4,9,11,13,148.85598334633866,1,29046417,suspicious,sample_0115.apk,/sample/path/sample_0115.apk
4,7,0,0,0,0,1,1,28,8,32,1,30300,195,10,8,6,21,32,109.44427316112963,0,4284321,suspicious,sample_0116.apk,/sample/path/sample_0116.apk
11,47,0,0,0,0,0,0,20,4,1,5,69673,329,2,2,12,6,85,65.21163636320748,0,11999077,benign,sample_0117.apk,/sample/path/sample_0117.apk
11,14,1,0,0,0,1,0,3,13,21,7,11983,212,15,5,3,13,26,189.86121129792537,0,4133211,benign,sample_0118.apk,/sample/path/sample_0118.apk
9,6,0,0,1,0,0,0,19,17,42,2,7852,306,11,7,11,9,7,64.55621203606935,0,47457316,benign,sample_0119.apk,/sample/path/sample_0119.apk
4,12,0,0,1,0,0,0,11,1,6,2,12116,258,18,7,5,0,91,48.3829769964731,0,15451300,benign,sample_0120.apk,/sample/path/sample_0120.apk
11,47,0,0,1,1,0,1,22,15,0,6,53756,157,13,1,3,5,94,134.66546342391032,0,3592536,suspicious,sample_0121.apk,/sample/path/sample_0121.apk
3,38,0,0,1,0,0,1,5,18,43,8,31090,449,15,8,4,23,97,165.6584699255776,0,43133277,benign,sample_0122.apk,/sample/path/sample_0122.apk
9,25,0,0,1,0,1,1,17,10,22,5,7416,324,12,2,0,19,15,30.205307988597173,0,17394487,benign,sample_0123.apk,/sample/path/sample_0123.apk
11,43,0,0,1,0,0,0,25,14,37,4,72906,312,14,3,13,3,75,54.224997949244866,0,38516108,suspicious,sample_0124.apk,/sample/path/sample_0124.apk
14,22,0,0,0,0,0,0,13,3,7,2,47738,29,14,3,0,24,39,150.58178294571675,1,11539669,suspicious,sample_0125.apk,/sample/path/sample_0125.apk
8,23,1,0,0,1,1,0,8,18,46,3,5493,119,6,4,12,3,39,60.02999891310802,0,21060832,benign,sample_0126.apk,/sample/path/sample_0126.apk
7,29,1,0,0,1,0,0,27,7,1,8,90709,85,9,7,14,22,15,55.506932282812244,0,15689949,suspicious,sample_0127.apk,/sample/path/sample_0127.apk
11,39,0,0,0,1,0,0,11,0,8,8,47403,34,17,1,7,0,7,108.31480683345784,0,20097931,benign,sample_0128.apk,/sample/path/sample_0128.apk
5,16,0,0,0,0,0,1,5,19,28,2,29803,310,7,3,5,11,44,194.44557923020875,0,26528279,benign,sample_0129.apk,/sample/path/sample_0129.apk
1,31,0,0,0,0,0,0,11,5,25,7,86371,361,1,8,12,12,98,47.25856542029466,0,24787347,benign,sample_0130.apk,/sample/path/sample_0130.apk
7,17,0,0,0,1,1,0,6,16,41,5,93541,232,9,7,4,16,40,165.45926706216704,0,21885050,benign,sample_0131.apk,/sample/path/sample_0131.apk
6,45,0,0,0,0,1,0,7,11,18,7,79279,444,13,0,12,6,91,166.02767368454303,0,49968538,benign,sample_0132.apk,/sample/path/sample_0132.apk
13,27,0,0,0,1,0,0,0,3,17,4,98938,238,8,3,0,0,75,25.234202675561654,0,19149286,benign,sample_0133.apk,/sample/path/sample_0133.apk
1,33,0,0,0,0,0,1,24,6,27,2,20539,453,2,5,2,15,93,37.00605352075696,0,1684029,benign,sample_0134.apk,/sample/path/sample_0134.apk
11,39,0,0,0,1,1,0,24,5,27,4,80285,106,18,3,2,12,72,68.19956476786041,0,39309051,suspicious,sample_0135.apk,/sample/path/sample_0135.apk
11,38,0,0,0,1,0,1,25,3,32,7,46734,289,5,6,3,4,55,154.76229582515893,1,43188444,suspicious,sample_0136.apk,/sample/path/sample_0136.apk
9,22,0,0,0,0,0,0,4,7,33,3,92575,203,6,0,14,3,49,102.26204293528558,0,24429562,benign,sample_0137.apk,/sample/path/sample_0137.apk
2,15,0,0,0,1,0,0,5,14,29,9,3169,124,5,9,11,4,34,178.79669773864944,0,44279132,benign,sample_0138.apk,/sample/path/sample_0138.apk
12,21,0,0,0,0,0,0,21,18,2,9,10569,415,13,2,9,16,84,75.06511597859553,0,12010186,suspicious,sample_0139.apk,/sample/path/sample_0139.apk
6,8,0,0,0,0,0,0,18,16,34,1,75965,248,19,4,6,20,7,17.497311249270872,0,3975605,benign,sample_0140.apk,/sample/path/sample_0140.apk
2,31,1,0,0,1,0,1,27,4,16,7,47099,424,14,9,11,5,16,190.33130718699368,0,20847987,benign,sample_0141.apk,/sample/path/sample_0141.apk
5,40,0,0,1,0,0,0,17,16,13,1,22083,434,15,3,6,12,34,48.09015795039653,0,44860083,benign,sample_0142.apk,/sample/path/sample_0142.apk
12,21,0,0,0,0,0,0,14,13,30,6,52919,113,11,2,5,9,41,130.1833808935073,0,32343819,benign,sample_0143.apk,/sample/path/sample_0143.apk
1,45,0,0,1,0,1,0,16,7,6,6,13866,64,4,8,4,0,14,37.141554587159334,0,15163844,benign,sample_0144.apk,/sample/path/sample_0144.apk
11,13,0,0,0,0,0,0,3,5,10,2,25322,397,13,1,12,18,15,139.53224237713064,0,34742203,benign,sample_0145.apk,/sample/path/sample_0145.apk
5,6,0,0,0,0,0,1,13,6,38,0,16592,157,13,4,2,20,18,133.0853147382004,0,5473014,benign,sample_0146.apk,/sample/path/sample_0146.apk
6,36,0,0,0,0,0,0,27,13,23,5,85227,204,8,1,11,22,30,64.01207765622817,0,20575137,suspicious,sample_0147.apk,/sample/path/sample_0147.apk
14,15,0,0,0,0,0,1,21,5,16,6,63551,305,8,8,5,4,43,150.77177066889357,0,35971274,suspicious,sample_0148.apk,/sample/path/sample_0148.apk
8,5,0,0,1,0,1,1,18,16,5,7,33441,470,1,8,7,22,9,36.43201128930663,0,3195690,suspicious,sample_0149.apk,/sample/path/sample_0149.apk
12,41,1,0,1,1,0,0,18,18,11,4,46968,100,16,6,11,8,98,96.96292498026585,0,41081357,benign,sample_0150.apk,/sample/path/sample_0150.apk
2,48,0,0,0,0,0,1,8,8,37,5,35773,480,4,6,12,12,33,84.99952723051734,1,4110691,suspicious,sample_0151.apk,/sample/path/sample_0151.apk
1,7,0,0,0,1,0,1,27,10,34,8,27672,117,10,4,11,14,52,140.7284443288426,0,21696165,benign,sample_0152.apk,/sample/path/sample_0152.apk
7,6,0,0,0,0,0,0,21,19,23,8,2401,187,6,0,3,22,27,60.77799966078311,0,28995739,suspicious,sample_0153.apk,/sample/path/sample_0153.apk
9,16,0,0,1,1,0,0,20,0,6,3,62240,125,12,4,3,12,6,177.05847182081308,0,1379039,benign,sample_0154.apk,/sample/path/sample_0154.apk
10,12,0,0,0,0,0,0,8,1,33,6,50067,217,4,9,7,8,4,110.84009750449881,0,18034570,benign,sample_0155.apk,/sample/path/sample_0155.apk
14,36,0,0,0,0,0,0,9,12,18,4,56751,359,4,0,0,14,51,74.09462679323445,0,33482872,benign,sample_0156.apk,/sample/path/sample_0156.apk
14,35,0,0,0,0,0,0,21,0,49,5,45769,14,14,4,5,5,61,163.3234432679588,0,37219181,suspicious,sample_0157.apk,/sample/path/sample_0157.apk
12,35,0,0,0,0,0,1,15,10,12,1,55110,155,12,5,8,15,67,190.77166396874813,1,37927295,suspicious,sample_0158.apk,/sample/path/sample_0158.apk
10,30,0,0,0,1,0,0,17,5,3,2,26372,58,2,0,10,10,79,195.6885025183857,0,24284876,benign,sample_0159.apk,/sample/path/sample_0159.apk
9,12,0,0,0,0,0,1,17,11,8,4,23601,35,5,9,14,10,84,52.19441543173091,0,19434369,benign,sample_0160.apk,/sample/path/sample_0160.apk
6,12,1,0,0,0,1,0,3,8,26,1,68712,159,7,0,2,19,19,153.31034493593432,1,30486438,suspicious,sample_0161.apk,/sample/path/sample_0161.apk
10,30,0,0,0,0,0,0,17,0,25,3,99134,265,11,8,8,4,64,43.29213670010719,0,6277420,benign,sample_0162.apk,/sample/path/sample_0162.apk
8,33,0,0,0,0,0,1,12,6,46,6,64814,153,8,4,4,13,3,166.40055783468327,0,7679155,benign,sample_0163.apk,/sample/path/sample_0163.apk
12,33,0,0,0,0,0,0,25,14,34,4,47976,194,15,7,10,7,62,73.11629629196487,0,24612951,suspicious,sample_0164.apk,/sample/path/sample_0164.apk
7,46,1,0,0,0,0,1,29,8,5,4,62240,137,8,6,6,5,84,67.7490773284552,0,7330034,suspicious,sample_0165.apk,/sample/path/sample_0165.apk
5,8,1,0,0,1,1,0,17,4,24,2,17589,184,16,5,3,6,15,153.30716933959533,0,39553543,benign,sample_0166.apk,/sample/path/sample_0166.apk
0,20,0,0,1,0,0,0,10,9,21,8,69368,323,16,3,14,24,20,116.41742251424515,0,24041214,benign,sample_0167.apk,/sample/path/sample_0167.apk
8,40,1,0,0,0,0,1,14,6,16,1,14050,168,9,5,5,19,51,39.891993200347365,0,36677259,benign,sample_0168.apk,/sample/path/sample_0168.apk
